rank,keyword,tfidf_sum
1,delicious,12.813101
2,dine,12.191088
3,taste,7.078987
4,price,5.067497
5,delicious dine,4.524286
6,malatang,3.246345
7,tasty,3.0
8,eating,2.942987
9,chinese,2.360055
10,time,2.346504
11,ve,2.343508
12,times,2.326927
13,clean,2.291169
14,taste dine,2.191113
15,fantastic,2.155868
16,fresh,2.144487
17,eat,2.081332
18,worth,2.0
19,wow,2.0
20,authentic,1.997013
21,atmosphere,1.922228
22,ygf,1.9074
23,ordered,1.852471
24,soup,1.819523
25,spicy,1.80137
26,issue,1.744509
27,china,1.700758
28,better,1.698262
29,weight,1.666678
30,variety,1.653081
31,stomach,1.618779
32,don,1.599844
33,small,1.59423
34,environment,1.581729
35,perfect,1.578938
36,ingredients,1.578031
37,dinner,1.559491
38,wide,1.549819
39,choices,1.506262
40,broth,1.499321
41,attitude,1.498052
42,rice,1.407755
43,friendly,1.404699
44,yang,1.328397
45,yang guofu,1.328397
46,guofu,1.328397
47,want,1.302043
48,ve times,1.293208
49,foods,1.285861
50,say,1.273628
